Ticker,Sector,Industry,Trailing_PE,Forward_PE,Price_To_Book,EV_to_EBITDA,Beta_raw,Market_Cap
MMM,Industrials,Conglomerates,28.07948,15.4268,22.95723,13.364,1.158,76130099200
ADBE,Technology,Software - Application,13.755977,8.94081,8.377664,10.847,1.518,96167665664
ABBV,Healthcare,Drug Manufacturers - General,84.852325,12.502215,-108.702705,14.278,0.364,355698114560
AOS,Industrials,Specialty Industrial Machinery,17.063637,15.191492,4.8985906,11.036,1.346,9084956672
AMD,Technology,Semiconductors,116.84694,27.782024,7.8905687,72.382,1.963,497227202560
ABT,Healthcare,Medical Devices,25.677872,15.115214,3.0538344,13.593,0.782,159293390848
ACN,Technology,Information Technology Services,14.413115,11.794107,3.4640083,9.204,1.236,108218114048
A,Healthcare,Diagnostics & Research,25.376379,17.464685,4.7043295,18.182,1.303,32513832960
APD,Basic Materials,Specialty Chemicals,,21.34486,4.355568,100.802,0.808,67125219328
ALGN,Healthcare,Medical Instruments & Supplies,33.78584,15.499137,3.3643527,15.263,1.811,13671020544
ALB,Basic Materials,Specialty Chemicals,,21.233826,3.1010177,36.698,1.433,22664933376
AFL,Financial Services,Insurance - Life,16.957478,14.993718,2.034122,13.407,0.652,60613775360
ALLE,Industrials,Security & Protection Services,19.79677,15.434029,6.122882,14.19,1.03,12671139840
GOOG,Communication Services,Internet Content & Information,31.28492,25.05356,9.844555,26.807,1.128,4091084537856
ALL,Financial Services,Insurance - Property & Casualty,5.6841826,8.386425,1.9661016,4.776,0.224,56147984384
GOOGL,Communication Services,Internet Content & Information,31.426064,25.18987,9.898116,26.935,1.128,4113342922752
MO,Consumer Defensive,Tobacco,16.027914,11.358047,-31.565489,8.345,0.447,110403796992
AMZN,Consumer Cyclical,Internet Retail,35.74652,27.055489,6.700256,19.191,1.383,2760186265600
AMP,Financial Services,Asset Management,12.79909,10.034152,6.4674115,,1.266,43117076480
AIG,Financial Services,Insurance - Diversified,14.042357,8.634277,0.9975013,4.862,0.601,40912674816
AME,Industrials,Specialty Industrial Machinery,36.741028,27.013323,5.0749903,23.271,1.041,53947195392
APH,Technology,Electronic Components,45.154655,28.94791,13.7508,26.799,1.26,184863342592
AMGN,Healthcare,Drug Manufacturers - General,24.488396,14.910601,21.670609,14.009,0.465,187716829184
ADI,Technology,Semiconductors,73.88349,30.629436,5.8182697,34.963,1.053,196582735872
AON,Financial Services,Insurance Brokers,19.200235,15.285861,7.499714,14.774,0.825,70279536640
AAPL,Technology,Consumer Electronics,34.713562,29.222355,45.663555,26.383,1.109,4025615122432
AMAT,Technology,Semiconductor Equipment & Materials,42.11168,29.20987,15.019551,35.874,1.637,326181584896
APP,Communication Services,Advertising Agencies,45.106358,22.30843,71.912834,38.438,2.502,153046646784
ADM,Consumer Defensive,Farm Products,31.363274,14.381262,1.4767758,16.825,0.636,33703792640
ACGL,Financial Services,Insurance - Diversified,8.430172,9.709152,1.4959233,6.215,0.384,34839920640
AIZ,Financial Services,Insurance - Property & Casualty,13.574719,10.395154,1.9489485,7.76,0.56,11442048000
ANET,Technology,Computer Hardware,63.47273,40.639427,17.729813,54.133,1.475,219788017664
