Feature,Importance (Gain)
atr_pct,910964.6204154566
session_progress,214105.3658285439
bar_range,178612.08618720248
orb_position,24546.963278472424
is_opening_30min,20822.708928108215
macd_hist,19872.198485910892
momentum_36bar,16314.216028042138
ema_9_dist,13099.674926564097
momentum_12bar,11845.74483537674
momentum_accel,11697.190466025844
is_power_hour,8167.672445297241
ema_21_dist,7660.344854205847
vwap_slope,4781.829126725905
relative_volume,3012.6504666805267
momentum_6bar,2904.2886715456843
stoch_k,2882.6239107251167
bb_position,2352.863981485367
close_position_in_bar,2351.7412206828594
rsi_14,1743.8011403083801
vwap_deviation,1597.3780055046082
is_midday,1249.9815998077393
volume_surge,90.10947036743164
