Feature,Importance
vol_20_xs,21608.367674840614
hl_ratio_xs,13046.75919092074
Vol_rank,11492.529395697638
dist_52w_low,2590.795534260571
dist_52w_high_xs,2084.367243064102
vol_20,1410.0054789371789
dist_52w_low_xs,1358.092914001143
dist_52w_high,1195.6737094521523
EV_to_EBITDA_xs,1055.4422393981367
BBB_20_2.0_2.0_xs,883.2632294725627
vol_x_vix_xs,803.3254269771278
hl_ratio,770.3885499630123
stock_beta_60d,427.98540205322206
stock_beta_60d_xs,427.3199422135949
KCBe_20_2,421.23592133820057
EMA_21,288.117206890136
Beta_rank,247.04659356735647
OBV,193.2584190517664
OBV_xs,136.9609771501273
